id,sentence1,domain,label
25,Thr r no rights w/o responsibilities. The rt 2 bodily autonomy comes w/ the responsibility 2 care 4 1's unborn child #ProLifeYouth #SemST,abortion,against
26,Excellent 'speed-dating' #ethics discussion today in Yr9 class #morality #SemST,abortion,none
27,"@user second out of wedlock pregnancy and you don't want a lecture, you just want to give them? STUNNNG. #SemST",abortion,none
28,@user I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense.,abortion,favor
29,#DonRients: people aren't just killed by guns.  9 people died and that's sad.  But how many die daily from #abortion? #SemST,abortion,against
30,What is it that makes the human race behave in an undignified way to gain attention? #furgison #prideparade #potus #isis #lgbt #SemST,abortion,none
31,Progress for #AfricanAmericans check. Progress for #Gay people check. Progress for #Women. Waiting waiting waiting.... #SemST,abortion,favor
32,@user @user & yet Amnesty advocates child murder! #SemST,abortion,against
33,Kudos to the mentality that believes people who are dumb enough to not use protection are 'mature enough' to take care of a baby. #SemST,abortion,favor
34,@user make their own decisions doesn't mean you need to harass me . Goodbye now. #freedom #SemST,abortion,none
35,RT @user Consenting to sex is not consenting to being pregnant!!! Like!!! No!!!! #SemST,abortion,favor
36,"RT @user ""It seems to me clear as daylight that abortion would be a crime."" -Ghandi  #ProLifeYouth #SemST",abortion,against
37,Even the #smallest #person can change the course of the #future.youthgen #SemST,abortion,against
38,"The people who never spoke up against the Nazis during World War II were likely ""live and let live "" people. #fb #SemST",abortion,none
39,"We say God bless America but we kill 4,000 babies a year. #SemST",abortion,against
40,@user @user I'm done with the convo. But before I go. #SemST,abortion,none
41,@user He who wears the shoes knows where it hurts but I'm Pro-life. #TheReadClub #SemST,abortion,against
42,"@user Now you are not even sense. And, once again, abortion is not healthcare. With every abortion at least one human lies. #SemST",abortion,against
43,What the leftists are doing is putting all Americans in danger! #tcot #UniteBlue #LoveWins #LGBT #SCOTUS #SemST,abortion,none
44,"I don't plan on ever having an abortion, but here's the thing ...I don't think anyone ever PLANS on it. #SemST",abortion,favor
45,If it's getting old maybe you should stop calling embryos & fetuses babies. #SemST,abortion,favor
46,How can there be too many #children? That is like saying there are too many #flowers -Mother Teresa #prolifeyouth #SemST,abortion,against
47,@user What is postinor popularly used for? #SemST,abortion,none
48,"@user @user At the same time, this decision ISN'T always a difficult one. Don't let #antichoice guilt-trip people. #SemST",abortion,against
49,"@user Premise is wrong. Nothing on earth has a ""right"" to use someone's body w/out consent. #rapeculture #SemST",abortion,favor
50,"Anti-vaxxers are such an idiotic bunch... Seriously, guys. Vaccinate. Your. Kids. #stopsb277 #conformcomics #marvel #dc #SemST",abortion,none
51,Too far? Sorry so is he,abortion,none
52,But isn't that the problem then. Not enough faith. #gaystapo #socialism,abortion,none
53,Since #roevwade 1/3 of my #generation has been #aborted. Where were their #rights?youthgen #SemST,abortion,against
54,Agree choice if woman's life in danger.  But rape - does the baby deserve death for crime of his/her father? @user #SemST,abortion,against
55,"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3",abortion,favor
56,PRAYERS FOR BABIES Urgent prayer in Detroit MI ...two in San Diego CA&one in San Antonio  Life begins at conception  #SemST,abortion,against
57,#ProLifeYouth know that life begins at conception. #SemST,abortion,against
58,"@user I would consider this, to be dispersal of a chemical weapon, one that kills children. #SemST",abortion,against
59,If you want #Equality then let ALL the babies live!! #SemST,abortion,against
60,"Your body belongs to you. It doesn't belong to the church, the state or an embryo. #SemST",abortion,against
61,Just owned a woman who works for planned parenthood. #factsonly #SemST,abortion,against
62,coffee out the nose or down the windpipe... next time... we're going for out the nose #thoughtiwasgonnadie #SemST,abortion,against
63,@user @user @user Abortion is NOT illegal and I would never judge a woman for making that choice. #SemST,abortion,favor
64,I had a word with some of the antiabortion protestors. Calmer after buying bi pride colour yarn for a friend & I. Haberdashery <3 #SemST,abortion,against
65,abortion clinics... back alleys with a profit center and air conditioning?  #SemST,abortion,against
66,@user @user Being #Gay is a #Choice Just like #SemST,abortion,none
67,I don't hate LGBT but I disagree with same-sex marriage. #SacramentofMatrimonyisSacred #SemST,abortion,none
68,@user  SinnFein voted to kill unborn sick children #SemST,abortion,against
69,Demand the Senate vote to ban painful late-term abortions. Use your voice to help hold the Senate accountable. #bluemoon #SemST,abortion,against
70,Follow #Patriot --> @user  Thanks for following back!!  #Truth #Liberty #Justice #ProIsrael #WakeUpAmerica #FreeAmirNow #SemST,abortion,none
71,#ProLifeYouth know that human life in the womb is as valuable as human life outside the womb. #SemST,abortion,against
72,"Because as long as we're ending innocent lives, love has won nothing. #SemST",abortion,against
73,Rise & Shine its a new day & you're alive. Thank God 4 another day of precious life. #Christian #Catholic #TeamJesus,abortion,against
74,"Bristol Palin doesn't want any lectures, you guys. That's her job. #hypocrisy #15minutes #SemST",abortion,none
75,The right to control one's body is not a license to kill.Youth #SemST,abortion,against
76,They haven't eliminated #murder. They just call it by a different #name. #prolifeyouth #prolifegen #SemST,abortion,against
77,@user forcing women to change their body's normal function is the epitome of controlling women. #SemST,abortion,against
78,Don't see the big deal about all this #SemST,abortion,against
79,@user @user @user @user Bad analogy. The current time frame for abortion is the best compromise  #SemST,abortion,against
80,"We can be the generation that ends abortion. I don't care whose toes we step on or who we offend, it's time to put an end to #SemST",abortion,against
81,@user @user Not possible. #BristolPalin doesn't believe in #SemST,abortion,none
82,@user Don't Let Obama Control Your Actions. Progressives have destroyed the Black Community #LBJ #Clintons #Drugs #SemST,abortion,none
83,.@RebeccahLouise I'm not forcing anyone to do anything. Abortion is not 'medical help' & there are better options. Very proud to be #SemST,abortion,against
84,WORLDWIDE R.E. Agents! - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,abortion,against
85,Patient advocate Stephen Casey of Texas Center for Defense of Life strongly supports #HB3074. #TXlege #SemST,abortion,against
86,"@user Yes, heard you the first 500 times you tweeted SIX kids. she is probably also #SemST",abortion,none
87,"HOW COULD I DIE BEFORE EVEN I BORN,TO YOU I AM JUST TINY LITTLE THING THAT DOESN'T MATTER #SemST",abortion,against
88,Girls don't want boys. Girls want #SemST,abortion,none
89,@user good riddance to millions of black babies? I really hope I'm misunderstanding you #SemST,abortion,against
90,@user No Such Thing As An Unforced #ProlifeYouth #SemST,abortion,against
91,They may need to figure out how to get out of school or work that day. #SemST,abortion,none
92,Murdering an unborn child is the crudest form of contraception! #Catholic #Christian #Conservative #feminist #SemST,abortion,against
93,If it isn't a #human life then why does @user have a problem with us?youth #itisahumanlife #SemST,abortion,against
94,"Just a reminder, don't take your eyes off #SCOTUS yet #reprohealth is still on the line. #womensrights #ReproJustice #reprorights #SemST",abortion,favor
95,"A needed, safe medical procedure is available to women. Unfortunately, RW men say they should make women's decisions. Sad, huh? #SemST",abortion,favor
96,Up at this ridiculous hour to #protectthezone.  #Alabama #SemST,abortion,none
97,"(3/3) So when @user tells you MLK was #prolife, they're lying. (Their gullible followers r likely just misinformed). #UniteBlue #SemST",abortion,none
98,@user @user Captors have already been born and are no longer part of the body of a pregnant woman. That's the difference. #SemST,abortion,favor
99,RT @user Who's yer man in the #dail talking about bullying? The only bullying was Fine Gael bullying their own members! #SemST,abortion,none
100,Watching teen mom and watching Farrah be a bitch makes me believe in abortion that much more. #SemST,abortion,favor
101,@user @user is a seven pound baby murderer. Too bad her Mom didn't have the same operation. #Baby #Democrats #Losers #SemST,abortion,against
102,Well that's a win for women in Texas. Thank you SCOTUS! #texas #SemST,abortion,favor
103,"Jesus loves the children of the world, the born and the unborn.Youth #SemST",abortion,against
104,"because it is settled that [abortion] is constitutional, it necessarily follows that there must be a means of carrying it out. #SemST",abortion,against
105,Inching toward diabetes while supporting @user at #ChocolateMadness 2015. #mapoli #SemST,abortion,favor
106,"@user And I explained that they are in the keep your baby business, as they helped me get Medicaid and WIC. #SemST",abortion,against
107,Ever notice how ppl like Cruz  who say they love the Constitution  are always the ones who want to change it? #ACA #GayMarriage #SemST,abortion,none
108,#Liberals don't realize they conceded the debate. Now - per Shaw - we are just going to haggle over price.   #Idiots #SemST,abortion,none
109,"If men could get pregnant, abortion clinics would be like Starbucks #SemST",abortion,against
110,people in the government care more about words in a bible than women and their bodies #SemST,abortion,favor
111,@user how do you plan 2 endorse @user @user who'd not b able 2 run 4 fed @user #peipoli #SemST,abortion,none
112,@user if every child matters regardless of skin color? why do we as a nation continuously keep aborting them? #AllLivesMatter #SemST,abortion,against
113,"Hillary wants to be a champion for women, unless they're unborn.  #SemST",abortion,against
114,"When you abort a baby, you don't just abort one person ...you abort generations. #SemST",abortion,against
115,"@user because it's not your baby, body or decision, nor does it effect your life in any way. So it's none of your business. #SemST",abortion,favor
116,"Mary, Help of Christians persecuted everywhere, pray for us!  #HolyLove #UnitedHearts #MaranathaSnS #profamily #1m1w #marriage #SemST",abortion,against
117,@user I also support Men's wrongs as well as Women's rights #Standforchoice #womensrights #SemST,abortion,favor
118,"If the fetus isn't inside you, than shut up love #SemST",abortion,favor
119,All of this has nothing to do w providing medical care - @user on TRAP regulations #scraptrap #SemST,abortion,against
120,On my way to Sweden! @user #womangolf #letsgooo #SemST,abortion,none
121,Time to make a change in my boxing style can u say @user style but still be great on my defense #beastmode #boxing #ximenez #SemST,abortion,none
122,@user that much more oppressive for women #SemST,abortion,none
123,A nation that kills it's own children is a nation without hope. -Pope Saint John Paul II #ProLifeYouth #AllLivesMatter #SemST,abortion,against
124,pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen,abortion,favor
125,#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas #SemST,abortion,against
126,@user @user @user you know what massively reduces abortion? Sex education and access to birth control. #SemST,abortion,favor
127,A woman who deliberately destroys a fetus is answerable for murder.-St. Basil the Great #SemST,abortion,against
128,Never during a pregnancy does a pregnant person's body cease being their own. Support bodily autonomy. Be #SemST,abortion,against
129,#SCOTUS blocking part of our Texas Anti-Abortion law.  Maybe we should call them the Supreme Tyrant.  #tcot #tgdn #SemST,abortion,against
130,She*  knows what's best for her* happiness & her* body #SemST,abortion,favor
131,Why do we think we can outsmart #satan when he has been at it for over thousands of years? #scotus #marriage #isis #LoveWins #SemST,abortion,none
132,@user @user @user Abortion Workers Charged with Manslaughter After Another Woman Dies From #SemST,abortion,against
133,Let's agree that it's not ok to kill a 7lbs baby in the uterus @user #DNC #Clinton2016 @user #ProCompromise #SemST,abortion,against
134,@user putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs,abortion,favor
135,@user because that 9% utilized that wonderful gift of choice (#proChoice). #SemST,abortion,against
136,I am 1 in 3... I have had an abortion #AbortionOnDemand #MenstruationMatters #SemST,abortion,against
137,Bodily autonomy is a human right. A person's access to abortion is a human right. #reprojustice #reprorights #SemST,abortion,favor
138,@user When we #PrayTheRosary lest we forget to #Prayforpersecutedchurch #PrayForIsrael #PrayForUkraine,abortion,none
139,How can a kingdom founded in violence long control the vice that brought it n2 existence? <-- commentary on Judges9 @user #SemST,abortion,none
140,RT @user The single most important factor for women's advancement in society is our ability to control our fertility. #SemST,abortion,favor
141,Parents have left their role to the teachers! Parents need to have skills to reach out to their own children it's important! #SemST,abortion,none
142,Bigger problems 4 #Christians than same sex #marriage: #worldhunger #cleanwater #sextrafficking #slavelabor #womensrights #thelost #SemST,abortion,none
143,Help your friend figure out how they're going to get there and where to stay if they need to spend the night,abortion,none
144,Equality in the states is a nice step forward to a better America. #ProudToLove #SemST,abortion,none
145,"If Doctors used guns to perform abortions, would liberals then be opposed? #2A #liberallogic #SemST",abortion,against
146,"Life Fact: At just 9 weeks into a pregnancy, a baby begins to sigh and yawn. #LifeFact #SemST",abortion,against
147,@user Keep up the good work! They are nutters #SemST,abortion,none
148,They know what's best for their health They know what's best for their happiness They know what's best for their well being.. #SemST,abortion,favor
149,"@user You're a historian? Of what , malice? Your hatred of her child is astonishing. #palin #SemST",abortion,none
150,RT @user Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #SemST,abortion,against
151,Pro-Choice is meaningless. Say what you mean. You stand for the right to choose to kill. #SemST,abortion,against
152,"Size,Level of development, Environment,Degree of dependency do not affect a human's value. . A fetus is a human being #ProLifeYouth #SemST",abortion,against
153,I'll always put all my focus and energy toward keeping people alive instead of deciding who gets to marry. #SemST,abortion,against
154,@user My @user is it 1973 already? #SemST,abortion,none
155,Pro-Life Legislative Day Party in Lansing today! See y'all there! #sopumpedgen #SemST,abortion,against
156,Children are the greatest blessing which God has bestowed on man and woman. -Pope Francis #LifeisaGift #SemST,abortion,against
157,@user @user But the Mayor of Baltimore said to give rioters to rioters. #BlackLivesMatter #Except2Democrats #Sanger,abortion,none
158,Okay so how about declaring and protecting equality for the unborn now? #SCOTUS #Murder #SemST,abortion,against
159,"True equality"" allows all to be born. #SemST",abortion,against
160,@user Don't you mean to say (all children deserve the same chances) except the UNBORN CHILDREN?     #SemST,abortion,against
161,"@user ""In check"" is putting it nicely. #MargaretSanger #SemST",abortion,none
162,@user And where is @user ? Nowhere to be seen - cause they only care about #SemST,abortion,none
163,"People go nuts on the #Onepercent, yet their fine with 0.0000023% of the population deciding their fate on #obamacare, #marriage, #SemST",abortion,against
164,"@user No, it shows that liberals should start thinking about the consequences of their actions #polygamy #gaymarriage #SemST",abortion,none
165,"Some people are not ready for a child or they were even raped, and theres already too many kids who need adopting anyway #SemST",abortion,favor
166,@user I have no problem with birth control but their you go with that free thing again. So your solution is murder good idea #SemST,abortion,against
167,Do you know anything about the right of bodily autonomy? Describe it then if you don't think the fetus takes it away from her  #SemST,abortion,favor
168,Findin budget compromise a 'process' #Brownback says  #income #thestate #SemST,abortion,none
169,"Now that the govt and The Supremes have saved the gays, maybe they will save the babies next. #SemST",abortion,against
170,The only solution I see against the #POTUS #SCOTUS #Tyranny is #ArticleV #FederalistPapers #SCOTUScare #GayMarriage #wtf #SemST,abortion,none
171,@user  its morally wrong. Life is sacred and only the giver and its onlyHim alone that should take it#HaveYourSay is on #SemST,abortion,against
172,It should never ever be legal to have an abortion because murder is wrong & #AbortionIsMurder not #healthcare . We Must . #SemST,abortion,against
173,Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright,abortion,against
174,#SoProLife they want to force Texans to carry pregnancies that WON'T EVEN PRODUCE LIFE. #SemST,abortion,favor
175,@user @user Thank goodness politicians saw sense and recognised women's rights over their own bodies. #SemST,abortion,favor
176,"RT @user NEW video: ""I'm not seeing it as a human being."" @user @user @user @user #prolife... #SemST",abortion,against
177,"@user Typo - I meant to say ""dies"" - With every abortion @ least one human dies. #SemST",abortion,against
178,"@user whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved.",abortion,against
179,@user @user @user Very important to #PrayTheRosary to #PrayforthePersecutedChurch & to #SemST,abortion,against
180,"Abstinence spokesmodel and brawler, Bristol Palin is pregnant and not at all happy about it. Poor little rich girl! #Hypocrite #SemST",abortion,none
181,"I'm killing my baby tonight, I don't care if it's wrong or right! #SemST",abortion,favor
182,I really don't understand how some people are Pro-Choice. A life is a life no matter if it's 2 weeks old or 20 years old. #SemST,abortion,against
183,When you bring up the 50 million black babies aborted in the past 30 years people get offended... #SemST,abortion,against
184,Abortion IS NOT a political issue it is a MORAL issue. #Catholic #Christian #Conservative #SemST,abortion,against
185,Woe to those who call evil good & good evil. Isaiah 5:20 #SCOTUSMarriage #SemST,abortion,none
186,If your agonist abortion get a vasectomy  #SemST,abortion,against
187,Please join us as we pray to end the global holocaust of abortion! #SemST,abortion,against
188,A little VAN action before work  #datadatadata #SemST,abortion,none
189,@user but it's ok. at least it's only yo your hand that smells like dick #SemST,abortion,none
190,It is a poverty to decided that a child must die so that you may live as you wish. -Mother Teresa #SemST,abortion,against
191,Abortion laws should be designed to make it harder to get an abortion. Abortion is murder! #SemST,abortion,against
192,@user did u become a lib before or after u made it in Hollywood? #BlackLivesDontMatter #whitebrunch #SemST,abortion,none
193,"Breda O'Brien strikes again, why can't people just allow the woman who is carrying the 'child' to make her own decisions #Amnesty #SemST",abortion,favor
194,"During an abortion, something alive must become dead to be considered a successful abortion...  #p2 #tcot #ChooseLife #Choice #SemST",abortion,against
195,So can unborn children have rights now? #SemST,abortion,against
196,So mint!  Listening to @user LIVE & he s talking about #MargaretSanger being total Evil. Even if you're pro-#Abortion! #SemST,abortion,against
197,Idiot: how would you feel if your mom aborted you?  Me: nothing cause I would be fucking dead. #SemST,abortion,against
198,@user Abortion Workers Charged with Manslaughter After Another Woman Dies From #SemST,abortion,against
199,"Every good Christian wants to make sure the unworthy ""those people"" don't have health insurance. Because Jesus. #RedState #tcot #SemST",abortion,none
200,Pretend I'm a #tree and #save me. -babies everywhereyouthgen #SemST,abortion,against
201,"Your life is worth a lot. Don't believe any ""compassionate"" politicians or doctors or friends who tell you otherwise. You matter. #SemST",abortion,against
202,I'm so glad this is Not My Home! #NMH #SCOTUSMarriage #ACA #SemST,abortion,none
203,Spent the WHOLE day on my highlight film from my Israel trip...I'll post the link and Instagram the link to it  #ballislife #SemST,abortion,none
204,Peer pressure is real! Parents also need to get real! Lay the facts right on sex! To those who are misleading shame on u! #SemST,abortion,none
205,RT @user Yes I will be at @user Counting down to it. Looking forward to standing up for the right to life #... #SemST,abortion,against
206,You know what's best for you You know what's best for your happiness You know what's best for your well being #SemST,abortion,favor
207,Please pray for mercy for #AndrewChan & #MyuranSukumaran #IStandForMercy #KeepHopeAlive #Bali9 #SemST,abortion,none
208,Re Last: I can't get past this...why must abortion providers dismember a fetus alive?  That just sounds...hideously inhumane. #SemST,abortion,against
209,"Selfish men everywhere: ""#BirthControlHelpedMe cheat on my wife! But she found out anyway & our marriage was destroyed. #SemST",abortion,none
210,How Ohio is secretly as restrictive as Texas with their #antichoice laws #TRAPlaws #SemST,abortion,against
211,We are people who believe every child is entitled to life and liberty.... -@BarackObama  Yet abortion is still legal. #SemST,abortion,against
212,Happy to hear the #SCOTUS blocked closing of 10 abortion clinics in TX until an appeal can be heard #safelegalrare #thinkprogress #SemST,abortion,favor
213,@user Yup. The women in the womb are as precious as those who are outside of it. #ProLifeYouth #AllLivesMatter #SemST,abortion,against
214,Ok now how about we handle up on something just a little more important.....like MURDER   #SemST,abortion,against
215,Both Democrats and #IslamicState murder by dismemberment. The only difference is the age of their victims. #ISIS #SemST,abortion,against
216,Now the matter of abortion comes next. #SemST,abortion,none
217,Legalized tweeting-instead-of-procreating discriminates against the unconceived child. #worstargumentever #lolanti #SemST,abortion,against
218,Abortion is legal all nine months in Canada and in some parts of the USA. #ProLifeYouth #SemST,abortion,against
219,"On Manila TV,Monday: #Pacquiao appeals to @user -don't execute #MaryJaneVeloso #deathRow #drugTrafficking #Christian",abortion,none
220,We must provide demonstrated sexual training as a preparation for marriage. From THE COMING WOMAN #sexed #marriage #books #SemST,abortion,none
221,RT alvedaking: The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarthD... #SemST,abortion,against
222,@user @user #Obama cares more about deserters than unborn babies #ProtectTheUnprotected #AntiAbortion #SemST,abortion,against
223,@user It's not Monday on Twitter until some right wing troll sends me a video of an abortion #ReproRights #SemST,abortion,favor
224,RT @user Why doesn't anyone congratulate me for NOT getting knocked up? Throw me a damn shower #ReproJustice #SemST,abortion,none
225,@user Its not only safe but contrally to the ten commandments... Thy shall not kill #ItsNotonItsNotSafe #SemST,abortion,against
226,"@user But adoption chooses to let them live. Obviously a huge difference. You can see that, right?  #Adoption #SemST",abortion,against
227,"RT @user Government  has exceeded its necessary size, scope and reach into the lives of its citizens. #Armenia... #SemST",abortion,none
228,"if we can accept that a mother can kill even her own child, how can we tell other people not to kill one another?  #SemST",abortion,against
229,RT @user #SCOTUS says they support equality for all. Well what about equality for the unborn?  #SemST,abortion,against
230,@user   goes along with the world is the law of God and not of men #SemST,abortion,against
231,Every human person - is a being of inestimable worth created in the image and likeness of God. -St. JPII #SemST,abortion,against
232,The day that love will truly win is the day that the injustice known as abortion is abolished. #AllLivesMatter #SemST,abortion,against
233,Coming from a female that was taken away the ability to have children. I still believe women should have the ability to choose. #SemST,abortion,favor
234,@user @user @user Where did we get that right? When did we get that right- at conception? #antichoice #SemST,abortion,against
235,"@user That lady needs help, mental illness is a serious issue. #SemST",abortion,none
236,"#SupremeCourt  is on a roll this week, did they just discover #coffee or something?? #MarriageEquaility #SemST",abortion,none
237,"Abortion does not make you un-pregnant, it makes you the mother of a dead child.isright #SemST",abortion,against
238,What a great day to argue the benefits of making abortion legal #SemST,abortion,favor
239,#Humans have taken over the role of #God - #RachelDolezal #CaitlynJenner #SCOTUSMarriage #SemST,abortion,against
240,Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote,abortion,favor
241,Forced reproduction is a human rights violation. #feminism #abortionrights #SemST,abortion,favor
242,I love how #liberals only accuse #conservatives of war on women when we don't want to fund,abortion,against
243,"@user he is still waiting for an answer, instead of wealding his authority to put a stop to it and disobey the government. #SemST",abortion,none
244,@user Good point but  Our heart starts beating 22 days after conception we are alive at conception. #SemST,abortion,against
245,Last meeting of the year tonight! 7:00 pm in Case Hall room 334A. Come one come all! Pizza and pop will be provided!,abortion,none
246,"I'm a woman who cannot conceive, and I proudly beg you to reconsider killing what I'd die for.               #ProLifeYouth #SemST",abortion,against
247,U.S. Fed law does nothing to prevent killing of pre-born children even up til sec of birth or seriously address root causes of #SemST,abortion,against
248,"@user ""If you don't draw the line where I've arbitrarily drawn it, you can't draw it anywhere."" Nonsense. #SemST",abortion,none
249,@user Pressure? It's their job and they are failing miserably at keeping the promises they made.  #GOP #PJNET #Amnesty #Obamacare,abortion,none
250,"Why is bacteria considered life on Mars, but a heartbeat is not considered life on earth? #heartbeat #SemST",abortion,against
251,@user Are you OK with #GOP males telling you what you can and can't do with your own body?,abortion,favor
252,"@user Precisely! In God's eyes, ALL life is precious. Let's make this generation the one who ends abortion! #ProLifeYouth #SemST",abortion,against
253,It is so much fun having younger friends who are expecting babies. #beentheredonethat #chooselife,abortion,against
254,I've noticed that everybody that is for Abortion has already been born-Ronald Reagan #LetthemLive #AllLivesMatter #SemST,abortion,against
255,"@user Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2 #SemST",abortion,favor
256,I'm gonna fuck @user Next weekend  #SemST,abortion,none
257,#Florida AttorneyGeneralBondi files appeal after Judge grants ACLU request to temporarily halt new law requiring 24hr wait before #SemST,abortion,against
258,Good morning @user Do you plan to tell @user that women on PEI deserve the right to choose? #cdnpoli #peipoli #SemST,abortion,favor
259,So happy that America is making it possible for ALL of its people to be married to the ones they love!  #MarriageEquaility #SemST,abortion,none
260,"Govt cannot force you to get chemo but if you're a fetus, you must live! #JulieBorowski #reproductiverights #SemST",abortion,favor
261,How the fuNk is Chris Christy a Republican? Oh Yeah hes a RINO #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,abortion,against
262,@user because a good percent utilized that wonderful gift of choice (#proChoice). #SemST,abortion,against
263,"RT @user @user @user Everybody but the unborn, right? #SemST",abortion,against
264,@user it was her choice Mark! #profeminist #SemST,abortion,favor
265,"@user  22wks is too late to be able to have a termination in my opinion, these triplets are babies not a bunch of cells. #SemST",abortion,against
266,"@user love is only love if it's on her terms. Keep your faith in Jesus, He is your Anchor in this storm. Hebrews 6:19  #SemST",abortion,none
267,Now we just need to give women everywhere their rightful choice #SemST,abortion,favor
268,@user you want the freedom to murder a baby. Rip them limb by limb. No change in subject by me.Libertarian #SemST,abortion,against
269,"If we ever forget we're one Nation under GOD, then we will be a Nation gone under. #Reagan #Christian #2A #DogLover #Conservative #SemST",abortion,none
270,It is a #poverty to decide that a #child must #die so you may live as you wish. -Mother Teresa #prolifeyouth #prolifegen #SemST,abortion,against
271,Today the proverbial straw broke the back of America It's just a matter of time We've gone too far... #LoveWins #SemST,abortion,none
272,"We all have a duty to protect the sanctity of life...from the first cell division, to the last. #ProtectLife #pjnet #ctot #ccot #SemST",abortion,against
273,I refuse to stop praying for an end to abortion. #SemST,abortion,against
274,"Pregnancy is not a crisis. It's a gift. Whether they be wanted by you or someone else, no child is unwanted. #ChooseLife #Adoption #SemST",abortion,against
275,We are thrilled to announce that we will be opening a satellite office!  We'll be right across the street from #ASU !  #SemST,abortion,against
276,@user @user And gov't $ should never go to the largest corporation that murders little babies. Defund #SemST,abortion,against
277,"Messed up: Being outraged that it's legal to distribute images of abortion, but being fine with abortion being legal. #No2Trudeau #SemST",abortion,against
278,Like the govt. is literally taking away your right to live your own life by defunding right now #SemST,abortion,favor
279,"Abortion is on the wrong side of history: healers, inventors, artists, your wife, your husband, your best friend, all eliminated. #SemST",abortion,against
280,Someone snitched on the mom having sex with and playing naked twister with teens. I bet it was her Cock blocking ass children. #SemST,abortion,none
281,"I will believe the narrative that ""black lives matter"" when ALL black lives matter, all the time. #BlackOnBlackViolence #SemST",abortion,none
282,RT @user The most disturbing thing we to this planet is to flood our streets with the #blood of #children from #HappyEarth... #SemST,abortion,against
283,Why are we all here? Because all of our mothers granted us the gift of life and did not abort us. All life has value. #ProLifeYouth #SemST,abortion,against
284,"Abortion has nothing to do with feminism. Its about the BABYS body, not yours.isright #SemST",abortion,against
285,lifeboatcoffee Thanks for the follow! Done with SB and other companies on the left. All about #1M1W #CCOT #SemST,abortion,none
286,In Ireland the unborn child has constitutional protection. Long may this continued.Youth #SemST,abortion,against
